scenario,final_mean_quality,final_mean_knowledge,final_mean_trust_ai,final_mean_trust_peer,final_HIRI,final_AMR,final_avg_tie_strength,final_gini_performance
overreliance_fragility,0.19529332092196183,0.8247770409002162,0.008958333333333334,0.024647351488226655,0.8767123287671232,0.8333333333333334,0.5668151014315517,0.10405071397949188
overreliance_fragility,0.28744005234946307,0.8628603261409331,0.0,0.024989115283395365,0.8481012658227848,0.8333333333333334,0.5910504041502682,0.09872507305708372
overreliance_fragility,0.2281330347507397,0.8673950346113555,0.02241846442849517,0.07551329471813731,1.11864406779661,0.825,0.6033568159297897,0.10917449608411095
overreliance_fragility,0.3340307974264041,0.8520357587587158,0.005833333333333331,0.037144619568823006,0.8620689655172413,0.8666666666666667,0.5835427140876649,0.09679895870097903
overreliance_fragility,0.25741038178149916,0.8622938938077155,0.027621530359358444,0.06500830834150831,0.8311688311688312,0.8583333333333333,0.5967088650042635,0.13141803307667885
overreliance_fragility,0.27803701220401705,0.8672909373625911,0.024625,0.030503568519955473,0.9027777777777778,0.8583333333333333,0.5835369032215975,0.10699083168878751
overreliance_fragility,0.2599529694930638,0.8245971993739237,0.006154979461066094,0.01988690630687119,0.8169014084507042,0.8416666666666667,0.5749677454168327,0.09745521464684143
overreliance_fragility,0.33739754215748347,0.8452473415295602,0.00075,0.02242239509202067,1.0147058823529411,0.825,0.5755216800752564,0.1110046220581647
overreliance_fragility,0.3088936130928967,0.8615293446933366,0.016346763783777456,0.03115519017139494,1.0606060606060606,0.8,0.5740987308390539,0.10752398942326728
overreliance_fragility,0.38382439297961873,0.8804401834940329,0.0071867964499091625,0.0427244538858046,0.9850746268656716,0.825,0.5886157364355886,0.08964672018302988
overreliance_fragility,0.2319312720528029,0.8809147769777093,0.023945396031810402,0.06283869750822092,0.7466666666666667,0.8666666666666667,0.6047549281039778,0.10426026711264097
overreliance_fragility,0.3394988058912719,0.8382540718507366,0.016666666666666666,0.02948366456224576,0.92,0.8166666666666667,0.578376818831267,0.12122343580170426
overreliance_fragility,0.32508924605523054,0.8915247985122183,0.026091293297865543,0.06950760335194936,0.7866666666666666,0.8583333333333333,0.6173443857822503,0.11370832256759626
