replication,mode,experience_signal,next_probability_same_route,repeat_same_route,n_events
17,Hybrid,Near expectation,0.2758755860530466,0.2633587786259542,786
17,Hybrid,Worse than expected,0.2538935280954686,0.25865880619012527,2714
17,Peer-first,Better than expected,0.39336163001209495,0.4026769509981851,4408
17,Peer-first,Near expectation,0.38701044700564907,0.38160136286201024,1174
17,Peer-first,Worse than expected,0.35642588508219497,0.34958071278826,3816
18,AI-first,Better than expected,0.41526742357880553,0.422122379118528,4674
18,AI-first,Near expectation,0.3968664597914954,0.387551867219917,1205
18,AI-first,Worse than expected,0.37515897020736194,0.37209882705265784,4007
18,Hybrid,Better than expected,0.28809279426275586,0.2831439393939394,3168
18,Hybrid,Near expectation,0.26819588562512436,0.2657601977750309,809
18,Hybrid,Worse than expected,0.25770233713591256,0.25312145289443816,2643
18,Peer-first,Better than expected,0.42515149398101804,0.4215481171548117,4780
18,Peer-first,Near expectation,0.4076256317684525,0.3835725677830941,1254
18,Peer-first,Worse than expected,0.3904668716225385,0.38826530612244897,3920
19,AI-first,Better than expected,0.4229128269714039,0.42207101849883055,4703
19,AI-first,Near expectation,0.3967773174015963,0.4099836333878887,1222
19,AI-first,Worse than expected,0.3827943336359721,0.3761201259384839,4129
19,Hybrid,Better than expected,0.28582582127624373,0.2871590560833589,3263
19,Hybrid,Near expectation,0.2717100424228118,0.2471131639722864,866
19,Hybrid,Worse than expected,0.2565862312285941,0.26709482432942955,2647
19,Peer-first,Better than expected,0.4039977519557281,0.41094091903719915,4570
19,Peer-first,Near expectation,0.3841198040405079,0.37521514629948366,1162
19,Peer-first,Worse than expected,0.3671204049267444,0.36659825551564906,3898
