shock_condition,metric,mean,ci_low,ci_high,n
Stable reliability,final_knowledge_rank_corr_with_initial,0.9848985801916215,0.9840689435736802,0.9857282168095627,30
Stable reliability,final_performance_gini,0.09410948057400696,0.09340233036168423,0.0948166307863297,30
Stable reliability,final_mean_ai_trust,0.6430722831063985,0.6426435992242373,0.6435009669885597,30
Stable reliability,final_mean_peer_trust,0.5672132787704468,0.5652276663504772,0.5691988911904164,30
Stable reliability,final_mean_tie_strength,0.4332052419583002,0.4321893840932588,0.43422109982334156,30
Stable reliability,final_network_density,0.05670697289468236,0.056629558014129694,0.05678438777523502,30
Stable reliability,final_mean_weighted_degree,4.397195150174036,4.387299442240106,4.407090858107965,30
Stable reliability,final_recent_active_tie_fraction,0.8995739414535304,0.8977711155475439,0.901376767359517,30
Stable reliability,final_mean_unique_peer_partners,10.602207407407409,10.571547936460325,10.632866878354493,30
Stable reliability,final_mean_peer_marginal,0.005627346104252364,0.00538758006814379,0.005867112140360937,30
Stable reliability,final_mean_ai_availability_probability,0.9307783963404912,0.9300794075658874,0.931477385115095,30
Stable reliability,edge_retention_ratio,1.0,1.0,1.0,30
Stable reliability,edge_count_ratio,1.0164074074074074,1.014950952767726,1.0178638620470888,30
Stable reliability,new_edge_ratio,0.016407407407407364,0.014950952767726058,0.01786386204708867,30
Stable reliability,strong_tie_fraction,0.6248805347948237,0.6183636981288604,0.6313973714607871,30
Temporary drop + recovery,final_peer_share,0.37692592592592594,0.37369087069418355,0.38016098115766833,30
Temporary drop + recovery,final_ai_share,0.37068148148148145,0.3672097407419096,0.3741532222210533,30
Temporary drop + recovery,final_hybrid_share,0.25239259259259256,0.24966564730811963,0.2551195378770655,30
Temporary drop + recovery,final_human_interaction_rate,0.6293185185185185,0.6258467777789466,0.6327902592580904,30
Temporary drop + recovery,final_ai_use_rate,0.6230740740740739,0.6198390188423315,0.6263091293058163,30
Temporary drop + recovery,final_mean_quality,0.598992336001621,0.5968074875259813,0.6011771844772608,30
Temporary drop + recovery,final_success_rate,0.4561777777777776,0.4494802869862399,0.4628752685693154,30
Temporary drop + recovery,final_mean_knowledge,0.6510051864773974,0.6480628119609215,0.6539475609938732,30
Temporary drop + recovery,final_knowledge_gini,0.0798410293867688,0.07826011848499739,0.08142194028854022,30
Temporary drop + recovery,final_knowledge_rank_corr_with_initial,0.9893009066691828,0.9887189303295725,0.9898828830087931,30
Temporary drop + recovery,final_performance_gini,0.09649621997923895,0.09572679623304299,0.0972656437254349,30
Temporary drop + recovery,final_mean_ai_trust,0.6059770292191932,0.6053930669079753,0.606560991530411,30
