condition,ai_access_mean,ai_reliability,verification_support,peer_response_probability,replication,seed,final_peer_share,final_ai_share,final_hybrid_share,final_human_interaction_rate,final_ai_use_rate,final_mean_quality,final_success_rate,final_mean_knowledge,final_knowledge_gini,final_knowledge_rank_corr_with_initial,final_performance_gini,final_mean_ai_trust,final_mean_peer_trust,final_mean_tie_strength,final_network_density,final_mean_weighted_degree,final_recent_active_tie_fraction,final_mean_unique_peer_partners,final_mean_peer_marginal,final_mean_ai_availability_probability,initial_edge_count,final_edge_count,edge_retention_ratio,edge_count_ratio,new_edge_ratio,strong_tie_fraction,initial_mean_tie,final_mean_skill,final_skill_gini,runtime_seconds
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,0,20260821,0.5342222222222223,0.24022222222222223,0.22555555555555556,0.7597777777777779,0.46577777777777785,0.5685504238508838,0.3768888888888889,0.628224897533297,0.09848749653234712,0.9950648075387627,0.11238413191653387,0.4522095989753594,0.5632262420654297,0.4451554656028748,0.05712228429546866,4.551598022619882,0.9410954331987875,10.575999999999999,0.014205293203218994,0.853571378658057,900,923,1.0,1.0255555555555556,0.025555555555555557,0.6879739978331527,0.5542529225349426,0.636969484327068,0.09488265047180122,10.272058963775635
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,1,20261830,0.5559999999999999,0.22244444444444447,0.22155555555555556,0.7775555555555556,0.4439999999999999,0.584193821206496,0.4213333333333333,0.6467474988507437,0.09649720274727955,0.9934404530797124,0.10925673297159402,0.45170570410000593,0.5768022227287293,0.44771265983581543,0.056754810676598384,4.5483428330421445,0.9509137520775789,10.569333333333331,0.014927457028063125,0.847875775717005,900,915,1.0,1.0166666666666666,0.016666666666666666,0.6950819672131148,0.5549401044845581,0.6555322042280305,0.09293430280145887,10.33867597579956
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,2,20262839,0.534,0.2351111111111111,0.2308888888888889,0.7648888888888888,0.466,0.549862068606131,0.3311111111111111,0.6046859561071808,0.10125125299781569,0.9946412852364739,0.11748349714707146,0.44914705344449224,0.5464955925941467,0.4412530326843262,0.057318435754189954,4.527147342416975,0.9468921397169736,10.83333333333333,0.013053458457593006,0.848764325632604,900,926,1.0,1.028888888888889,0.028888888888888888,0.6565874730021598,0.5509834885597229,0.6135981988872926,0.09772044622434373,10.192588567733765
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,3,20263848,0.5486666666666666,0.23022222222222222,0.22111111111111112,0.7697777777777778,0.4513333333333333,0.5669448716583113,0.3677777777777777,0.6296291601644247,0.08728962697970762,0.994258441590069,0.10684804135016628,0.45200894396372426,0.5630459403991699,0.4406864368915558,0.057889509621353204,4.566404688199361,0.9335997228849544,10.895555555555557,0.013715327877038474,0.8468728102508746,900,935,1.0,1.038888888888889,0.03888888888888889,0.6641711229946524,0.5510573387145996,0.6383210050568999,0.08400608406097265,10.225822687149048
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,4,20264857,0.5457777777777778,0.23711111111111113,0.2171111111111111,0.762888888888889,0.45422222222222225,0.5597968942603566,0.3466666666666666,0.6188786521483379,0.09679750526325598,0.9952690155941124,0.11357777261738296,0.45108800388822223,0.5565483212471009,0.43853580832481387,0.057373060211049036,4.503642124387953,0.9445166190236612,10.682666666666666,0.01340070605527276,0.8433292072725179,900,925,1.0,1.0277777777777777,0.027777777777777776,0.6497297297297298,0.5459277629852295,0.627664003791675,0.09327385065626781,10.628860235214233
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,5,20265866,0.5357777777777778,0.24600000000000002,0.21822222222222223,0.754,0.46422222222222226,0.5625934809295563,0.35777777777777786,0.621994079313307,0.09657812690701847,0.9957092188648048,0.11248755303965374,0.4513746685216528,0.5581370067596435,0.4382593619823456,0.057385474860335205,4.501724930339389,0.9462553177107441,10.683555555555555,0.013220727832495623,0.8489692882904448,900,927,1.0,1.03,0.03,0.6440129449838188,0.5463204383850098,0.6307831472652617,0.09304167198820945,10.338882446289062
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,6,20266875,0.5373333333333332,0.24355555555555555,0.2191111111111111,0.7564444444444445,0.46266666666666667,0.5656485684167479,0.3651111111111111,0.6288873080831643,0.09518079774270874,0.9944531275676289,0.11291887704143519,0.45069587740196004,0.5614908289909363,0.4422682499885559,0.05718435754189945,4.526986181630028,0.9422088895357578,10.634666666666668,0.012784184858006628,0.84982651077291,900,924,1.0,1.0266666666666666,0.02666666666666667,0.6742424242424242,0.550755500793457,0.6375259841346965,0.09195904627841611,10.425638437271118
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,7,20267884,0.538888888888889,0.2471111111111111,0.214,0.7528888888888889,0.4611111111111111,0.5664391918272367,0.36711111111111117,0.6243703909028597,0.09989063584319666,0.9942049257231886,0.11453857290657314,0.45037097971022,0.561643431186676,0.44225984930992124,0.057340782122905026,4.539169651508331,0.9461001711705141,10.772000000000002,0.013753425980793104,0.8472957558669358,900,930,1.0,1.0333333333333334,0.03333333333333333,0.6559139784946236,0.5503920912742615,0.6330291977299533,0.0964447288982202,10.263179302215576
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,8,20268893,0.5402222222222223,0.24044444444444443,0.21933333333333332,0.7595555555555557,0.45977777777777773,0.5632356502404082,0.3602222222222223,0.6246010283550019,0.0977129971143858,0.9933615809688877,0.11428050505399369,0.45188253485203383,0.5603983974456788,0.4413670563697815,0.05704779639975171,4.506994611528185,0.9458976961091472,10.561333333333334,0.014111647780159421,0.8522670537316809,900,920,1.0,1.0222222222222221,0.022222222222222223,0.6521739130434783,0.5488340258598328,0.63334479282639,0.09416844700311788,10.406770706176758
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,9,20269902,0.5504444444444444,0.23777777777777778,0.21177777777777776,0.7622222222222221,0.44955555555555554,0.5693583635116519,0.3693333333333333,0.6304660403093667,0.08648797157625468,0.9937974177205692,0.10826983775423636,0.45090667073941954,0.5635506319999695,0.4402717137336731,0.05731346989447548,4.5167056943575545,0.9481508890842042,10.639111111111111,0.012565010271141373,0.8573134107761574,900,926,1.0,1.028888888888889,0.028888888888888888,0.6511879049676026,0.5498554706573486,0.6391042018736423,0.08344635672890854,10.71727967262268
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,10,20270911,0.5215555555555557,0.24266666666666667,0.23577777777777775,0.7573333333333333,0.4784444444444444,0.5441508696298457,0.31133333333333335,0.6072540964038068,0.08724717612488504,0.9938095107720577,0.11232958832703689,0.4512669861035189,0.5478042817115784,0.4430601811408997,0.05740533829919305,4.552672218587663,0.946713316882331,10.748444444444445,0.011452485682013574,0.8449100188276855,900,925,1.0,1.0277777777777777,0.027777777777777776,0.6810810810810811,0.5546082854270935,0.615883570106273,0.08437945655716361,10.462315797805786
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,11,20271920,0.5402222222222223,0.2468888888888889,0.21288888888888888,0.7531111111111111,0.45977777777777773,0.5715220008535808,0.38533333333333336,0.6343487805331841,0.09564184195288722,0.9940790658734281,0.11294707920563216,0.45011508938433614,0.5656234812736511,0.4404863178730011,0.0572513966480447,4.513995603773329,0.9365965406933412,10.625333333333334,0.013151530008478891,0.8517861613993368,900,926,1.0,1.028888888888889,0.028888888888888888,0.6641468682505399,0.5484080910682678,0.642954964572823,0.09235439939632317,10.316555738449097
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,12,20272929,0.548888888888889,0.23777777777777778,0.21333333333333332,0.7622222222222221,0.4511111111111111,0.5710517093526633,0.3908888888888889,0.6349532552315462,0.08710811059430025,0.9930380599511779,0.11100567713924604,0.45079092485861955,0.56849600315094,0.441636643409729,0.056960893854748604,4.50284978140725,0.9514909978448043,10.639111111111111,0.013430337351155952,0.8487366338826942,900,921,1.0,1.0233333333333334,0.023333333333333334,0.6590662323561346,0.5489266514778137,0.643577574491191,0.08395102983024749,10.368293523788452
A0.35_R0.55_V0.30_P0.90,0.35,0.55,0.3,0.9,13,20273938,0.5364444444444445,0.24377777777777776,0.21977777777777777,0.7562222222222222,0.46355555555555555,0.5670234856057919,0.3715555555555556,0.6273938193933903,0.09355969461854773,0.994142437720129,0.11297058429500856,0.4522424599859021,0.5621887731552124,0.4435168361663818,0.05751458721291124,4.565987496534984,0.9424578702523074,10.629777777777777,0.012898382491792766,0.8459999020177195,900,930,1.0,1.0333333333333334,0.03333333333333333,0.6795698924731183,0.5540245175361633,0.6360219412950509,0.09029537893277606,10.21729564666748
