factor,level,multiplier,replication,seed,final_peer_share,final_ai_share,final_hybrid_share,final_human_interaction_rate,final_ai_use_rate,final_mean_quality,final_success_rate,final_mean_knowledge,final_knowledge_gini,final_knowledge_rank_corr_with_initial,final_performance_gini,final_mean_ai_trust,final_mean_peer_trust,final_mean_tie_strength,final_network_density,final_mean_weighted_degree,final_recent_active_tie_fraction,final_mean_unique_peer_partners,final_mean_peer_marginal,final_mean_ai_availability_probability,initial_edge_count,final_edge_count,edge_retention_ratio,edge_count_ratio,new_edge_ratio,strong_tie_fraction,initial_mean_tie,final_mean_skill,final_skill_gini,runtime_seconds
trust_learning_rate,+20%,1.2,15,20275956,0.38933333333333336,0.36844444444444446,0.24222222222222223,0.6315555555555555,0.6106666666666666,0.5878566879487842,0.4235555555555555,0.6433806759456934,0.07533560138855643,0.9873663131921765,0.0979227588811814,0.594792797225346,0.5701219916343689,0.43607141137123107,0.05654376163873371,4.413616714636484,0.897423239767916,10.553777777777777,0.007329932322362728,0.912616623236513,900,911,1.0,1.0122222222222221,0.012222222222222223,0.6410537870472008,0.5505538582801819,0.6525522558988945,0.07206660024401579,10.306528091430664
trust_learning_rate,+20%,1.2,16,20276965,0.39955555555555555,0.3506666666666667,0.24977777777777777,0.6493333333333333,0.6004444444444444,0.589789635802328,0.4268888888888888,0.6470840464417171,0.0788642762463563,0.9902749689545348,0.09922640220358563,0.5937329987885294,0.5741288161277771,0.4331717610359192,0.056797020484171325,4.403849178897009,0.9074127760616478,10.584888888888889,0.008254191977005878,0.9088266606771636,900,916,1.0,1.0177777777777777,0.017777777777777778,0.6397379912663755,0.54668790102005,0.6562335519537351,0.07566941469152355,9.731534957885742
trust_learning_rate,+20%,1.2,17,20277974,0.39466666666666667,0.3546666666666667,0.25066666666666665,0.6453333333333333,0.6053333333333333,0.5860368276433425,0.4228888888888889,0.6373697986011654,0.07483787537048242,0.9860120534433631,0.09665885379820932,0.5932584493666546,0.566369469165802,0.4334568202495575,0.05662321539416512,4.3932763916651405,0.9208959030903298,10.675999999999998,0.006733895441944125,0.9173601563940127,900,913,1.0,1.0144444444444445,0.014444444444444444,0.6363636363636364,0.5481071472167969,0.6467160430281741,0.07150911584159236,9.643807649612427
trust_learning_rate,+20%,1.2,18,20278983,0.39911111111111114,0.3491111111111111,0.2517777777777777,0.6508888888888889,0.6008888888888889,0.5919235621315369,0.43599999999999994,0.6507960197035801,0.0849323135593308,0.9887346788550069,0.1000242325598138,0.5945370257625447,0.5759595537185669,0.4370728349685669,0.056725015518311606,4.437914916674297,0.9095210056621887,10.645777777777775,0.008203569568593349,0.9117353998679719,900,915,1.0,1.0166666666666666,0.016666666666666666,0.6502732240437158,0.5513353943824768,0.6599807496601476,0.08135022873075681,9.798702001571655
trust_learning_rate,+20%,1.2,19,20279992,0.420888888888889,0.3315555555555556,0.24755555555555553,0.6684444444444445,0.579111111111111,0.5868993918318742,0.4237777777777778,0.6421140299585406,0.08465599893904549,0.990196100191096,0.10338942657090623,0.5924210667895857,0.5681030297279358,0.4354166066646576,0.056893854748603354,4.43424867216746,0.9081311282325076,10.723999999999998,0.008712959083199296,0.9147021966600078,900,917,1.0,1.018888888888889,0.01888888888888889,0.6521264994547438,0.5502431392669678,0.6514410856473116,0.08117157389918672,9.723712921142578
knowledge_learning_rate,-20%,0.8,0,20260821,0.3911111111111111,0.3662222222222222,0.2426666666666667,0.6337777777777778,0.6088888888888889,0.5873910846802511,0.4262222222222223,0.6391823675056354,0.09108861367031945,0.99240263275945,0.10232205516468927,0.591826521581208,0.5599973630905152,0.4377946937084198,0.0571173184357542,4.4759623117446905,0.9207526693735367,10.85288888888889,0.00866149030161769,0.9140966130400551,900,921,1.0,1.0233333333333334,0.023333333333333334,0.6547231270358306,0.5542529225349426,0.6481432219619704,0.08743403047528098,9.841665506362915
knowledge_learning_rate,-20%,0.8,1,20261830,0.4008888888888889,0.3437777777777778,0.2553333333333333,0.6562222222222222,0.5991111111111111,0.5983466653638071,0.4686666666666667,0.6563040294115222,0.0888480711883657,0.9933451378699114,0.1002683650099318,0.5946084796028643,0.574054479598999,0.4401840353012085,0.056603351955307274,4.459895041147869,0.9172316929628503,10.688888888888886,0.008739522420541799,0.9122998879002018,900,913,1.0,1.0144444444444445,0.014444444444444444,0.6571741511500547,0.5549401044845581,0.6650969649599654,0.08532219562484822,10.038384437561035
knowledge_learning_rate,-20%,0.8,2,20262839,0.3899999999999999,0.35,0.26,0.65,0.6100000000000001,0.5737072706217797,0.3857777777777778,0.6187668048186993,0.09202249766912989,0.991751112012097,0.1056664498520639,0.5930558434114098,0.5474219632148742,0.43440903902053835,0.057152079453755424,4.444008440918393,0.9128043869395066,10.695555555555554,0.0066893579491005715,0.9130499245571237,900,923,1.0,1.0255555555555556,0.025555555555555557,0.6316359696641387,0.5509834885597229,0.6281710644799919,0.08831077512092045,9.715499877929688
knowledge_learning_rate,-20%,0.8,3,20263848,0.4055555555555555,0.3464444444444444,0.248,0.6535555555555556,0.5944444444444446,0.5851571033081316,0.41622222222222227,0.6405074175363294,0.08083504902188565,0.9924233699653979,0.09850302858729564,0.5934164482647813,0.563200409412384,0.4358874535560608,0.05699813780260708,4.447196434338888,0.927426183144035,10.711555555555554,0.008128385629235593,0.911108109647395,900,919,1.0,1.021111111111111,0.021111111111111112,0.6343852013057671,0.5510573387145996,0.6493557665853984,0.0776711692494132,9.71585202217102
knowledge_learning_rate,-20%,0.8,4,20264857,0.4071111111111111,0.3415555555555556,0.25133333333333335,0.6584444444444445,0.5928888888888889,0.5783708096563855,0.4015555555555556,0.6301342076281246,0.0891594994703395,0.9942441933537389,0.10511503276221502,0.59198877744811,0.5561772847175598,0.43152885913848876,0.05729112352576041,4.425333141326905,0.9242877628689206,10.716888888888889,0.008166976439917838,0.9096506591426546,900,924,1.0,1.0266666666666666,0.02666666666666667,0.6147186147186147,0.5459277629852295,0.6391645397448004,0.08560621973603078,9.836604356765747
knowledge_learning_rate,-20%,0.8,5,20265866,0.37977777777777777,0.36644444444444446,0.25377777777777777,0.6335555555555556,0.6202222222222222,0.5825732475654383,0.4115555555555555,0.6331911784786722,0.08837557284127193,0.9931043785040744,0.10248621082029626,0.5947752093835279,0.5575258159637451,0.4318203783035278,0.05709993792675357,4.413533392853207,0.9136025228631468,10.759555555555556,0.007808365909937026,0.9127811078027241,900,922,1.0,1.0244444444444445,0.024444444444444446,0.6149674620390455,0.5463204383850098,0.6422747190593209,0.08468690821376601,9.772768497467041
knowledge_learning_rate,-20%,0.8,6,20266875,0.4031111111111111,0.3531111111111111,0.2437777777777778,0.646888888888889,0.5968888888888889,0.5852758153988277,0.4164444444444444,0.639839630073667,0.08874102059845718,0.9939221263515924,0.10409096166081992,0.5939381161248541,0.5602910566329956,0.43508594274520873,0.057238981998758535,4.457783608966404,0.9043506626275254,10.81377777777778,0.008793506640037476,0.9127951084967072,900,923,1.0,1.0255555555555556,0.025555555555555557,0.6446370530877573,0.550755500793457,0.6487010074300628,0.0854162128361271,10.372220516204834
knowledge_learning_rate,-20%,0.8,7,20267884,0.3906666666666667,0.3613333333333334,0.248,0.6386666666666666,0.6093333333333333,0.5834644734912814,0.4231111111111111,0.6345745186540711,0.09276380930951345,0.99352207003693,0.1053610472294971,0.5934518262142988,0.5590240144729615,0.43578866362571717,0.05685412787088765,4.434887704690298,0.9079902688066792,10.70711111111111,0.008345775038020862,0.9117290355236258,900,918,1.0,1.02,0.02,0.6339869281045751,0.5503920912742615,0.6435248673870013,0.08911916692545319,10.64178729057312
knowledge_learning_rate,-20%,0.8,8,20268893,0.4031111111111112,0.35199999999999987,0.24488888888888888,0.648,0.5968888888888888,0.5831227404692874,0.41666666666666674,0.6368486863250191,0.09019235212007512,0.9923198164316511,0.10431585502862728,0.5959148073728034,0.5595942568778992,0.4339171552658081,0.05704531346989447,4.430714237107171,0.9077690603829136,10.654222222222222,0.008238861570981373,0.9148628309667842,900,920,1.0,1.0222222222222221,0.022222222222222223,0.6130434782608696,0.5488340258598328,0.6458599531467611,0.08660412216697355,10.23006010055542
