factor,level,multiplier,metric,mean,ci_low,ci_high,n
expected_quality_weight,+20%,1.2,final_mean_ai_availability_probability,0.9130001396225707,0.9119007619146877,0.9140995173304536,20
expected_quality_weight,+20%,1.2,edge_retention_ratio,1.0,1.0,1.0,20
expected_quality_weight,+20%,1.2,edge_count_ratio,1.021,1.018567335853938,1.0234326641460618,20
expected_quality_weight,+20%,1.2,new_edge_ratio,0.02099999999999996,0.01856733585393793,0.023432664146061988,20
expected_quality_weight,+20%,1.2,strong_tie_fraction,0.6315749866944176,0.6250165586197272,0.638133414769108,20
expected_quality_weight,-20%,0.8,final_peer_share,0.39560000000000006,0.39110448769756545,0.4000955123024347,20
expected_quality_weight,-20%,0.8,final_ai_share,0.3504555555555556,0.345993999403832,0.35491711170727913,20
expected_quality_weight,-20%,0.8,final_hybrid_share,0.2539444444444445,0.2507935051588257,0.25709538373006324,20
expected_quality_weight,-20%,0.8,final_human_interaction_rate,0.6495444444444443,0.6450828882927206,0.6540060005961679,20
expected_quality_weight,-20%,0.8,final_ai_use_rate,0.6044,0.5999044876975654,0.6088955123024347,20
expected_quality_weight,-20%,0.8,final_mean_quality,0.5895118306623124,0.586657635537192,0.5923660257874328,20
expected_quality_weight,-20%,0.8,final_success_rate,0.43033333333333335,0.4213702058164423,0.4392964608502244,20
expected_quality_weight,-20%,0.8,final_mean_knowledge,0.6453849668537192,0.6414489845277456,0.6493209491796927,20
expected_quality_weight,-20%,0.8,final_knowledge_gini,0.08131400460951874,0.07929954969553812,0.08332845952349935,20
expected_quality_weight,-20%,0.8,final_knowledge_rank_corr_with_initial,0.9895879844192328,0.9889029607787773,0.9902730080596883,20
expected_quality_weight,-20%,0.8,final_performance_gini,0.09943051815373011,0.09835334163929567,0.10050769466816455,20
expected_quality_weight,-20%,0.8,final_mean_ai_trust,0.5935678288360384,0.5930686527489493,0.5940670049231276,20
expected_quality_weight,-20%,0.8,final_mean_peer_trust,0.5638236732482909,0.5611407317845595,0.5665066147120222,20
expected_quality_weight,-20%,0.8,final_mean_tie_strength,0.4352129358649254,0.43410367070109396,0.4363222010287568,20
expected_quality_weight,-20%,0.8,final_network_density,0.05690254500310362,0.05678484387005032,0.05702024613615692,20
expected_quality_weight,-20%,0.8,final_mean_weighted_degree,4.43282817434205,4.419254399455656,4.446401949228444,20
expected_quality_weight,-20%,0.8,final_recent_active_tie_fraction,0.9129978784879489,0.9102597955120142,0.9157359614638836,20
expected_quality_weight,-20%,0.8,final_mean_unique_peer_partners,10.679866666666666,10.646808896291203,10.712924437042128,20
expected_quality_weight,-20%,0.8,final_mean_peer_marginal,0.007935504732921799,0.007603197260529578,0.00826781220531402,20
expected_quality_weight,-20%,0.8,final_mean_ai_availability_probability,0.9130001396225707,0.9119007619146877,0.9140995173304536,20
expected_quality_weight,-20%,0.8,edge_retention_ratio,1.0,1.0,1.0,20
expected_quality_weight,-20%,0.8,edge_count_ratio,1.02,1.0177427408344635,1.0222572591655366,20
expected_quality_weight,-20%,0.8,new_edge_ratio,0.019999999999999955,0.017742740834463422,0.02225725916553649,20
expected_quality_weight,-20%,0.8,strong_tie_fraction,0.6331894975254505,0.6250135816259731,0.6413654134249279,20
external_peer_search_probability,+20%,1.2,final_peer_share,0.39738888888888885,0.3931368740617884,0.4016409037159893,20
external_peer_search_probability,+20%,1.2,final_ai_share,0.3554444444444444,0.3518168656343889,0.3590720232544999,20
external_peer_search_probability,+20%,1.2,final_hybrid_share,0.24716666666666662,0.24362526904065757,0.25070806429267567,20
external_peer_search_probability,+20%,1.2,final_human_interaction_rate,0.6445555555555555,0.6409279767455001,0.648183134365611,20
external_peer_search_probability,+20%,1.2,final_ai_use_rate,0.6026111111111111,0.5983590962840106,0.6068631259382116,20
external_peer_search_probability,+20%,1.2,final_mean_quality,0.588704393310735,0.5858604162517469,0.5915483703697231,20
external_peer_search_probability,+20%,1.2,final_success_rate,0.42608888888888885,0.4174069802355957,0.434770797542182,20
external_peer_search_probability,+20%,1.2,final_mean_knowledge,0.64553836332401,0.6415815845221426,0.6494951421258774,20
external_peer_search_probability,+20%,1.2,final_knowledge_gini,0.08123940448280965,0.07919946865866087,0.08327934030695844,20
external_peer_search_probability,+20%,1.2,final_knowledge_rank_corr_with_initial,0.9894188998448419,0.988666748696245,0.9901710509934387,20
external_peer_search_probability,+20%,1.2,final_performance_gini,0.09971880031606735,0.09850285830496863,0.10093474232716607,20
external_peer_search_probability,+20%,1.2,final_mean_ai_trust,0.5941083321265478,0.5936234792100085,0.5945931850430871,20
external_peer_search_probability,+20%,1.2,final_mean_peer_trust,0.5631647219657898,0.560502635199878,0.5658268087317017,20
external_peer_search_probability,+20%,1.2,final_mean_tie_strength,0.43429723131656645,0.43340137567025366,0.4351930869628792,20
external_peer_search_probability,+20%,1.2,final_network_density,0.05723327126008686,0.05710500477990336,0.057361537740270356,20
external_peer_search_probability,+20%,1.2,final_mean_weighted_degree,4.44925072455671,4.433575299175567,4.4649261499378525,20
external_peer_search_probability,+20%,1.2,final_recent_active_tie_fraction,0.9101603970198304,0.9079733067912712,0.9123474872483897,20
external_peer_search_probability,+20%,1.2,final_mean_unique_peer_partners,10.81942222222222,10.78274640616074,10.856098038283701,20
external_peer_search_probability,+20%,1.2,final_mean_peer_marginal,0.00785041405015508,0.007521719380229859,0.0081791087200803,20
external_peer_search_probability,+20%,1.2,final_mean_ai_availability_probability,0.9130001396225707,0.9119007619146877,0.9140995173304536,20
external_peer_search_probability,+20%,1.2,edge_retention_ratio,1.0,1.0,1.0,20
