step,difficulty,mean_quality,mean_knowledge,mean_trust_ai,mean_trust_peer,mean_performance,peer_events,ai_events,hybrid_events,success_rate,avg_tie_strength,HIRI,AMR,gini_performance,scenario,replication
31,0.605556520818473,0.2098498153470674,0.6969105156470945,0.008468372120711639,0.0002916666666666667,6.318845364409477,54,15,51,0.008333333333333333,0.7808929400177799,0.963302752293578,0.55,0.11689218336944909,baseline_human_only,0
32,0.806159665787971,0.14953876542579156,0.7017199390230127,0.007767871146860876,0.0,6.468384129835269,60,18,42,0.0,0.7729679400177797,0.9357798165137615,0.5,0.11529118286446924,baseline_human_only,0
33,0.553085675490272,0.24761010982655116,0.708776897544259,0.006105963545290209,0.0011666666666666668,6.7159942396618195,65,13,42,0.03333333333333333,0.7656221066844464,0.981651376146789,0.4583333333333333,0.11470979021917098,baseline_human_only,0
34,0.6286680845314682,0.22131083722041212,0.7152090498868316,0.004910335360486896,0.0011666666666666668,6.9373050768822315,58,12,50,0.025,0.758226273351113,0.9908256880733946,0.5166666666666667,0.11413103254101195,baseline_human_only,0
35,0.3573655919216778,0.3319090383903916,0.7249800611073705,0.004077002027153562,0.006583333333333333,7.269214115272624,66,11,43,0.175,0.7541304400177796,1.0,0.45,0.11249975476976967,baseline_human_only,0
36,0.8564603505567494,0.15431848129354067,0.7298069153119514,0.0036603353604868958,0.0003333333333333334,7.423532596566164,59,17,44,0.0,0.7463262733511129,0.944954128440367,0.5083333333333333,0.11278929711425734,baseline_human_only,0
37,0.35581532173405334,0.31472749638827524,0.7385479596223782,0.0032436686938202286,0.005250000000000001,7.738260092954438,59,16,45,0.15,0.7418637733511131,0.9541284403669725,0.5083333333333333,0.11141423409046557,baseline_human_only,0
38,0.5068315705213945,0.2735026934194343,0.7453018363113295,0.003031333619913075,0.0032083333333333334,8.011762786373874,57,13,50,0.06666666666666667,0.7353679400177796,0.981651376146789,0.525,0.11088273763432549,baseline_human_only,0
39,0.8762510730102759,0.1456137986281695,0.750083937437406,0.0024709353536810177,0.0008750000000000001,8.157376585002044,66,17,37,0.0,0.7274179400177796,0.944954128440367,0.45,0.11015312405528822,baseline_human_only,0
40,0.7724043043966116,0.17063527473644483,0.7545452044323983,0.0024709353536810177,0.0004583333333333334,8.328011859738488,51,17,52,0.008333333333333333,0.7197429400177796,0.944954128440367,0.575,0.11005127811579403,baseline_human_only,0
41,0.7756149566311268,0.1869899056512459,0.7589642313823376,0.0024709353536810177,0.0005833333333333334,8.515001765389734,52,15,53,0.016666666666666666,0.712126273351113,0.963302752293578,0.5666666666666667,0.11095138787769437,baseline_human_only,0
42,0.43907962927791966,0.2930782773657088,0.766138417880268,0.0016376020203476846,0.005541666666666667,8.808080042755444,55,22,43,0.15,0.7078554400177796,0.8990825688073395,0.5416666666666666,0.11073546414286443,baseline_human_only,0
