shock_condition,replication,seed,final_peer_share,final_ai_share,final_hybrid_share,final_human_interaction_rate,final_ai_use_rate,final_mean_quality,final_success_rate,final_mean_knowledge,final_knowledge_gini,final_knowledge_rank_corr_with_initial,final_performance_gini,final_mean_ai_trust,final_mean_peer_trust,final_mean_tie_strength,final_network_density,final_mean_weighted_degree,final_recent_active_tie_fraction,final_mean_unique_peer_partners,final_mean_peer_marginal,final_mean_ai_availability_probability,initial_edge_count,final_edge_count,edge_retention_ratio,edge_count_ratio,new_edge_ratio,strong_tie_fraction,initial_mean_tie,final_mean_skill,final_skill_gini,runtime_seconds
Temporary drop + recovery,6,20266875,0.3753333333333333,0.3724444444444444,0.25222222222222224,0.6275555555555556,0.6246666666666667,0.5989633662962992,0.46111111111111114,0.6514092654092015,0.08344553065708342,0.9909024785163276,0.09810730461285029,0.6062340934814682,0.5668442869186401,0.4359812426567078,0.0567870887647424,4.431665267997317,0.907393107348934,10.725777777777777,0.006499862758200145,0.9307495070607148,900,916,1.0,1.0177777777777777,0.017777777777777778,0.6517467248908297,0.550755500793457,0.661613085123699,0.07948509628280487,10.242679119110107
Temporary drop + recovery,7,20267884,0.38066666666666665,0.36844444444444446,0.2508888888888889,0.6315555555555555,0.6193333333333334,0.595847702514273,0.447111111111111,0.6466701312542387,0.08662481412574916,0.989943046804309,0.09941364401338186,0.6048406613513543,0.566155686378479,0.4357370913028717,0.05679702048417133,4.429927756362491,0.920916305253592,10.656444444444444,0.006426391939653518,0.9298412545517644,900,916,1.0,1.0177777777777777,0.017777777777777778,0.6353711790393013,0.5503920912742615,0.6567138989573653,0.08249973469945204,10.305888175964355
Temporary drop + recovery,8,20268893,0.38666666666666666,0.35244444444444445,0.2608888888888889,0.6475555555555556,0.6133333333333334,0.5971740713888256,0.4493333333333333,0.6489360845283862,0.08384126331068073,0.989929434088707,0.0979975414393603,0.606023880623541,0.5666009974479675,0.4327020585536957,0.05757914338919926,4.4596581548584835,0.9232893161173424,10.630222222222221,0.0062763533490225575,0.9323502106824233,900,929,1.0,1.0322222222222222,0.03222222222222222,0.6081808396124866,0.5488340258598328,0.6591985520670152,0.07964881039038518,10.269529819488525
Temporary drop + recovery,9,20269902,0.37577777777777777,0.37599999999999995,0.2482222222222222,0.6240000000000001,0.6242222222222222,0.599142351973941,0.44711111111111107,0.654039741515733,0.0747911740137701,0.9886611703175332,0.09402839559237655,0.6050699500533825,0.5682344484329224,0.4341257405281067,0.057082557417752956,4.435716251903109,0.9183201915743149,10.707111111111113,0.006411343344542605,0.9348351631955062,900,921,1.0,1.0233333333333334,0.023333333333333334,0.6178067318132465,0.5498554706573486,0.6640306515789476,0.07114904730702953,10.143719911575317
Temporary drop + recovery,10,20270911,0.36733333333333335,0.3748888888888889,0.2577777777777778,0.6251111111111112,0.6326666666666667,0.5864065260396782,0.42488888888888887,0.6337936276942442,0.074880148541948,0.9865361132505172,0.09844558203459393,0.6067937987251968,0.5561483907699585,0.43799028396606443,0.05668032278088144,4.443701315350003,0.9215461315491147,10.604888888888889,0.004673749770915657,0.9289737531916981,900,914,1.0,1.0155555555555555,0.015555555555555555,0.6455142231947484,0.5546082854270935,0.6441426035689332,0.07125310988289568,10.245267152786255
Temporary drop + recovery,11,20271920,0.37400000000000005,0.36711111111111117,0.25888888888888884,0.6328888888888888,0.6259999999999999,0.6019697226739661,0.46377777777777773,0.6566332753761968,0.08297501816095085,0.9896977174068506,0.09745141404988171,0.6064502366592446,0.5703444862365723,0.4337241613864899,0.0569211669770329,4.419167307376862,0.913980370774264,10.64311111111111,0.006159495149283439,0.9321586042061145,900,917,1.0,1.018888888888889,0.01888888888888889,0.6324972737186477,0.5484080910682678,0.6666834170109072,0.07897728002980742,10.610436916351318
Temporary drop + recovery,12,20272929,0.3846666666666667,0.37022222222222223,0.24511111111111109,0.6297777777777778,0.6153333333333333,0.6057278096156967,0.47577777777777785,0.6574655136314521,0.07506042163620644,0.987092276565936,0.09484658350904801,0.6046164880382373,0.5717465925216675,0.43356525897979736,0.057211669770328995,4.4400718339284255,0.9089944674867693,10.547555555555554,0.006414801223671539,0.9307134815825802,900,922,1.0,1.0244444444444445,0.024444444444444446,0.6171366594360087,0.5489266514778137,0.6674545575058022,0.07126726741913214,10.374673843383789
Temporary drop + recovery,13,20273938,0.3662222222222222,0.3784444444444444,0.25533333333333336,0.6215555555555556,0.6337777777777778,0.5987283818436927,0.4531111111111111,0.6517594564263421,0.07946694366998902,0.9907121408542459,0.09661084761286229,0.6065383766002737,0.5669782137870789,0.4368970382213593,0.0573060211049038,4.48155551317003,0.910923741967401,10.552444444444445,0.005965778144711374,0.9291104422914985,900,924,1.0,1.0266666666666666,0.02666666666666667,0.6428571428571429,0.5540245175361633,0.661917782159407,0.07550457390751486,10.22524881362915
Temporary drop + recovery,14,20274947,0.3808888888888889,0.3706666666666667,0.2484444444444444,0.6293333333333334,0.6191111111111112,0.6032554599441992,0.46844444444444444,0.6570093003148466,0.07945241544889481,0.9894316188707876,0.0961832236017067,0.6048599213294665,0.569767107963562,0.4316695964336395,0.0566927374301676,4.380561557822757,0.9219585802929242,10.515555555555554,0.006910813901999626,0.932683308758122,900,914,1.0,1.0155555555555555,0.015555555555555555,0.6083150984682714,0.544682502746582,0.6669791692459792,0.07574667551161407,9.932465314865112
Temporary drop + recovery,15,20275956,0.3777777777777779,0.37755555555555553,0.2446666666666667,0.6224444444444444,0.6222222222222221,0.5964713979430669,0.446,0.6463807943527649,0.07517954430630319,0.9876014305087761,0.09564510862761008,0.6063443474322376,0.5641365575790406,0.4353282427787781,0.05675977653631285,4.422906127611796,0.9079204043245152,10.614666666666666,0.005467630878224042,0.9305720473792701,900,915,1.0,1.0166666666666666,0.016666666666666666,0.6338797814207651,0.5505538582801819,0.6564885130798331,0.07139545370102729,9.603858470916748
