factor,level,metric,mean_difference,ci_low,ci_high,n
peer_communication_noise_sd,+20%,final_ai_use_rate,-0.004366666666666658,-0.00884564459517259,0.00011231126183927458,20
peer_communication_noise_sd,+20%,final_mean_quality,0.0002576067719859632,-0.0006319385904780071,0.0011471521344499334,20
peer_communication_noise_sd,+20%,final_mean_knowledge,0.00037116875590348375,0.00020035511161537082,0.0005419824001915966,20
peer_communication_noise_sd,+20%,final_mean_peer_trust,7.98290967941484e-05,-0.0002501162957275865,0.0004097744893158833,20
peer_communication_noise_sd,+20%,final_mean_tie_strength,0.00022601723670958584,-0.00010910212090283104,0.0005611365943220027,20
peer_communication_noise_sd,+20%,final_recent_active_tie_fraction,0.0018517320723668296,-0.0019404560079465468,0.0056439201526802055,20
peer_communication_noise_sd,+20%,final_mean_unique_peer_partners,-0.014444444444445103,-0.06345087284227308,0.03456198395338286,20
peer_communication_noise_sd,+20%,edge_retention_ratio,0.0,0.0,0.0,20
peer_communication_noise_sd,-20%,final_human_interaction_rate,-0.002311111111111164,-0.007146321091144361,0.002524098868922033,20
peer_communication_noise_sd,-20%,final_ai_use_rate,-0.0011999999999999622,-0.006216203497770913,0.0038162034977709883,20
peer_communication_noise_sd,-20%,final_mean_quality,-0.0005780942667160338,-0.0013856882576963412,0.00022949972426427364,20
peer_communication_noise_sd,-20%,final_mean_knowledge,-0.0002869192074637372,-0.0004307297574265284,-0.00014310865750094608,20
peer_communication_noise_sd,-20%,final_mean_peer_trust,0.0001922404766082908,-0.00012257633191133435,0.000507057285127916,20
peer_communication_noise_sd,-20%,final_mean_tie_strength,0.00029236650466918644,-0.00011441554500884744,0.0006991485543472204,20
peer_communication_noise_sd,-20%,final_recent_active_tie_fraction,-0.0012695387903610522,-0.004625708168494984,0.0020866305877728798,20
peer_communication_noise_sd,-20%,final_mean_unique_peer_partners,-0.026155555555555488,-0.08219796036779056,0.02988684925667958,20
peer_communication_noise_sd,-20%,edge_retention_ratio,0.0,0.0,0.0,20
peer_expertise_visibility,+20%,final_human_interaction_rate,-0.0012555555555555653,-0.007327557161870957,0.004816446050759826,20
peer_expertise_visibility,+20%,final_ai_use_rate,-0.00042222222222221826,-0.006542004726201337,0.005697560281756901,20
peer_expertise_visibility,+20%,final_mean_quality,0.00011292182140340001,-0.0009485192058996109,0.001174362848706411,20
peer_expertise_visibility,+20%,final_mean_knowledge,0.00015434065286283328,-5.902634046778561e-05,0.00036770764619345215,20
peer_expertise_visibility,+20%,final_mean_peer_trust,0.0005339634418487727,0.00019158431609255308,0.0008763425676049923,20
peer_expertise_visibility,+20%,final_mean_tie_strength,0.0003501569628715395,1.5058554317635335e-05,0.0006852553714254436,20
peer_expertise_visibility,+20%,final_recent_active_tie_fraction,-0.002348442540503021,-0.0071508035673096436,0.002453918486303602,20
peer_expertise_visibility,+20%,final_mean_unique_peer_partners,-0.006155555555556092,-0.05907825193992342,0.046767140828811234,20
peer_expertise_visibility,+20%,edge_retention_ratio,0.0,0.0,0.0,20
peer_expertise_visibility,-20%,final_human_interaction_rate,-4.444444444448026e-05,-0.0052628115194589846,0.005173922630570023,20
peer_expertise_visibility,-20%,final_ai_use_rate,-0.001722222222222214,-0.006789293047601803,0.0033448486031573744,20
peer_expertise_visibility,-20%,final_mean_quality,-0.00013131305576204454,-0.0010694696257987704,0.0008068435142746814,20
peer_expertise_visibility,-20%,final_mean_knowledge,1.2250388882112384e-05,-0.00015475405155889797,0.00017925482932312274,20
peer_expertise_visibility,-20%,final_mean_peer_trust,0.0001273720264434952,-0.0002198306011310671,0.00047457465401805755,20
peer_expertise_visibility,-20%,final_mean_tie_strength,0.0002355337142944336,-0.00010627340626235667,0.0005773408348512238,20
peer_expertise_visibility,-20%,final_recent_active_tie_fraction,0.0018978943230391898,-0.001712999867265039,0.005508788513343419,20
