replication,task_type,mode,mean_quality,mean_support_gain,success_rate,mean_difficulty,mean_solo_quality,n_events
9,Structured,Peer-first,0.5598139557557649,0.014885850353802457,0.39210199004975127,0.5811339961789482,0.5449281054019625,3216
10,Contextual,AI-first,0.5225434718922152,0.014727416073425245,0.23365354818717074,0.583827304912179,0.50781605581879,3227
10,Contextual,Hybrid,0.5203607009770658,0.010521672897293128,0.22569879015435962,0.5818383427219319,0.5098390280797727,2397
10,Contextual,Peer-first,0.533342829848752,0.013685965586078179,0.2576560659599529,0.5800926217610988,0.5196568642626739,3396
10,Integrative,AI-first,0.539330928759184,0.02445258595441206,0.2873263888888889,0.5800261466269111,0.5148783428047718,3456
10,Integrative,Hybrid,0.5361982410887106,0.019530666462439325,0.2786242925555072,0.5749826748990842,0.5166675746262712,2297
10,Integrative,Peer-first,0.5385198474651618,0.014157843129112757,0.29945054945054944,0.5751290927522908,0.524362004336049,3276
10,Structured,AI-first,0.5563452939157474,0.03867755190089059,0.3641903656413233,0.5816867101637292,0.5176677420148569,3446
10,Structured,Hybrid,0.5491126252990524,0.027652301778985977,0.3475795900566943,0.5772531161375264,0.5214603235200664,2293
10,Structured,Peer-first,0.5438309171024442,0.012400020164466985,0.33872976338729766,0.581583353748729,0.5314308969379773,3212
11,Contextual,AI-first,0.5419563147458799,0.007895643926389298,0.2799746915533059,0.5828158632816544,0.5340606708194906,3161
11,Contextual,Hybrid,0.5421402818938761,0.009780430847017015,0.2843352347520842,0.579283586031045,0.532359851046859,2279
11,Contextual,Peer-first,0.5608125251281307,0.014748494850618644,0.34196891191709844,0.5761651046813268,0.5460640302775122,3474
11,Integrative,AI-first,0.5491778511733276,0.02012351149450196,0.3136553369111509,0.5863015256299605,0.5290543396788255,3354
11,Integrative,Hybrid,0.54848146098133,0.016625326836048185,0.32404629232747534,0.5759130030182044,0.5318561341452818,2333
11,Integrative,Peer-first,0.5613292260243897,0.015065659445731462,0.3588673621460507,0.5774008171139781,0.5462635665786583,3355
11,Structured,AI-first,0.5713379859232893,0.034176486704058484,0.4184845005740528,0.5805313551679463,0.5371614992192308,3484
11,Structured,Hybrid,0.5598751804912582,0.02409493416572785,0.3839718185821224,0.5835774532494464,0.5357802463255303,2271
11,Structured,Peer-first,0.5641178663429225,0.014820815230103989,0.4086348434174521,0.5794893725840773,0.5492970511128185,3289
12,Contextual,AI-first,0.5456259128419442,0.009153918022136878,0.2882136279926335,0.5775976606248309,0.5364719948198073,3258
12,Contextual,Hybrid,0.5434266529861311,0.008505873918789215,0.2847826086956522,0.5798090378665763,0.5349207790673419,2300
12,Contextual,Peer-first,0.557084426382557,0.015046941936258999,0.3190005810575247,0.5821679932860387,0.542037484446298,3442
12,Integrative,AI-first,0.5554548291109944,0.019372269607335346,0.33715925394548063,0.5761341170869348,0.536082559503659,3485
12,Integrative,Hybrid,0.5500542282192852,0.015802193989765987,0.32375055285272003,0.5798142673783261,0.5342520342295193,2261
12,Integrative,Peer-first,0.5589841610621713,0.014531915174052584,0.3497401406297768,0.5800229255003584,0.5444522458881187,3271
12,Structured,AI-first,0.5795337326210107,0.03104032012804219,0.43907439953134153,0.5767527876734742,0.5484934124929685,3414
12,Structured,Hybrid,0.5687031937284884,0.022914563138846666,0.41284796573875804,0.5742529867884913,0.5457886305896419,2335
12,Structured,Peer-first,0.563790559215758,0.01512832182615073,0.40847247990105134,0.5793666070505252,0.5486622373896073,3234
13,Contextual,AI-first,0.5363716581616558,0.011165884203823664,0.2598159509202454,0.5799507228228816,0.5252057739578321,3260
13,Contextual,Hybrid,0.5344106241396256,0.011197187321694122,0.2585601404741001,0.5810973109495985,0.5232134368179315,2278
13,Contextual,Peer-first,0.5546216636451456,0.014038185425438946,0.30977312390924955,0.5797883350143314,0.5405834782197068,3438
13,Integrative,AI-first,0.5520714574091569,0.02151041006987606,0.31932021466905186,0.5777314035082113,0.5305610473392808,3354
13,Integrative,Hybrid,0.545898027031696,0.01813216431251728,0.3017009847806625,0.5815355880487262,0.5277658627191787,2234
13,Integrative,Peer-first,0.5526322882958264,0.013523797112137779,0.33752191700759787,0.5819566417819417,0.5391084911836886,3422
13,Structured,AI-first,0.5705104698813879,0.036223582130930305,0.4162582876909772,0.5760529218459847,0.5342868877504576,3469
13,Structured,Hybrid,0.5600690597942637,0.025778122026257327,0.38494997825141364,0.5795732081146339,0.5342909377680064,2299
13,Structured,Peer-first,0.5638816848519014,0.014640529789453469,0.4097350585335798,0.5763799617770349,0.5492411550624479,3246
14,Contextual,AI-first,0.5406732554665339,0.007918455117527845,0.28089191700216787,0.5807586169491249,0.532754800349006,3229
14,Contextual,Hybrid,0.5434212245338526,0.00995236163603291,0.2796312554872695,0.5808996136337603,0.5334688628978197,2278
14,Contextual,Peer-first,0.5601553661134216,0.013501572526994183,0.32927191679049034,0.5778670334772693,0.5466537935864275,3365
14,Integrative,AI-first,0.5525667295591875,0.020436250297530382,0.3263888888888889,0.5798351551695978,0.5321304792616571,3312
14,Integrative,Hybrid,0.5534883205282202,0.015416900478234146,0.320682302771855,0.5747465169690531,0.538071420049986,2345
14,Integrative,Peer-first,0.5587463425889205,0.014280264533474312,0.351681047307349,0.5822370025505907,0.5444660780554462,3361
14,Structured,AI-first,0.5701708008507888,0.03364254034366372,0.4069634703196347,0.5799620311949517,0.5365282605071251,3504
14,Structured,Hybrid,0.5596173643898033,0.024586034572063712,0.39300937766410915,0.5803053640499277,0.5350313298177396,2346
14,Structured,Peer-first,0.5603052190080458,0.014199247583860422,0.3904907975460123,0.5825287927512223,0.5461059714241854,3260
15,Contextual,AI-first,0.5383951501911187,0.0094534007679152,0.2726190476190476,0.5776649815596263,0.5289417494232036,3360
15,Contextual,Hybrid,0.537769982031129,0.01125121916779524,0.2796868203566768,0.5782095156370013,0.5265187628633338,2299
15,Contextual,Peer-first,0.5482417585921503,0.01454012190273902,0.294953596287703,0.579581652603696,0.5337016366894113,3448
15,Integrative,AI-first,0.5495675080552016,0.021702841472230984,0.31850961538461536,0.5784848646511379,0.5278646665829707,3328
15,Integrative,Hybrid,0.5468658268492622,0.016950907594182937,0.305982905982906,0.5761072822523128,0.5299149192550792,2340
15,Integrative,Peer-first,0.5436662167002367,0.014459290372252862,0.3050265376209803,0.5838656855509625,0.5292069263279839,3203
15,Structured,AI-first,0.5688139260995099,0.034286805486826985,0.41519484160358844,0.5787252449041485,0.5345271206126828,3567
15,Structured,Hybrid,0.5603507127032269,0.023002847987321825,0.38514383855732076,0.5805441604203678,0.537347864715905,2329
15,Structured,Peer-first,0.5566453148394549,0.014496931464806887,0.39955214331413946,0.5800617682373845,0.542148383374648,3126
16,Contextual,AI-first,0.5332325315380403,0.009936515505525156,0.255820985787723,0.577666517581882,0.5232960160325152,3307
16,Contextual,Hybrid,0.5394151140517539,0.00933567351994149,0.2708595387840671,0.5818644125168262,0.5300794405318124,2385
16,Contextual,Peer-first,0.5517635618454224,0.013658433139020114,0.3240506329113924,0.5788153573850479,0.5381051287064023,3555
16,Integrative,AI-first,0.5474757465294604,0.020384381538935646,0.3082338536883991,0.5830729114739517,0.5270913649905248,3267
16,Integrative,Hybrid,0.5448997056411107,0.015792807133783286,0.31171638564634674,0.5805881356805823,0.5291068985073274,2313
16,Integrative,Peer-first,0.5533617806555472,0.014881029196926724,0.34185022026431716,0.5801399211436213,0.5384807514586205,3405
